"","Date","Site.ID","Daily.Max.8.hour.Ozone.Concentration","Daily.Mean.PM2.5.Concentration","STATE_CODE","COUNTY_CODE","SITE_LATITUDE","SITE_LONGITUDE","Ozone_AQI","PM2.5_AQI"
"132",2020-01-27,420019991,0.035,NA,42,1,39.9231,-77.3078,32,NA
"133",2020-01-28,420019991,0.038,NA,42,1,39.9231,-77.3078,35,NA
"134",2020-01-29,420019991,0.04,NA,42,1,39.9231,-77.3078,37,NA
"135",2020-01-30,420019991,0.033,NA,42,1,39.9231,-77.3078,31,NA
"136",2020-01-31,420019991,0.029,NA,42,1,39.9231,-77.3078,27,NA
"137",2020-02-01,420019991,0.027,NA,42,1,39.9231,-77.3078,25,NA
"138",2020-02-02,420019991,0.037,NA,42,1,39.9231,-77.3078,34,NA
"139",2020-02-03,420019991,0.04,NA,42,1,39.9231,-77.3078,37,NA
"140",2020-02-04,420019991,0.042,NA,42,1,39.9231,-77.3078,39,NA
"141",2020-02-05,420019991,0.034,NA,42,1,39.9231,-77.3078,31,NA
"142",2020-02-06,420019991,0.021,NA,42,1,39.9231,-77.3078,19,NA
"143",2020-02-07,420019991,0.037,NA,42,1,39.9231,-77.3078,34,NA
"144",2020-02-08,420019991,0.039,NA,42,1,39.9231,-77.3078,36,NA
"145",2020-02-09,420019991,0.037,NA,42,1,39.9231,-77.3078,34,NA
"146",2020-02-10,420019991,0.03,NA,42,1,39.9231,-77.3078,28,NA
"147",2020-02-11,420019991,0.034,NA,42,1,39.9231,-77.3078,31,NA
"148",2020-02-12,420019991,0.032,NA,42,1,39.9231,-77.3078,30,NA
"149",2020-02-13,420019991,0.037,NA,42,1,39.9231,-77.3078,34,NA
"150",2020-02-14,420019991,0.037,NA,42,1,39.9231,-77.3078,34,NA
"151",2020-02-15,420019991,0.033,NA,42,1,39.9231,-77.3078,31,NA
"152",2020-02-16,420019991,0.028,NA,42,1,39.9231,-77.3078,26,NA
"153",2020-02-17,420019991,0.039,NA,42,1,39.9231,-77.3078,36,NA
"154",2020-02-18,420019991,0.033,NA,42,1,39.9231,-77.3078,31,NA
"155",2020-02-19,420019991,0.042,NA,42,1,39.9231,-77.3078,39,NA
"156",2020-02-20,420019991,0.039,NA,42,1,39.9231,-77.3078,36,NA
"157",2020-02-21,420019991,0.041,NA,42,1,39.9231,-77.3078,38,NA
"158",2020-02-22,420019991,0.045,NA,42,1,39.9231,-77.3078,42,NA
"159",2020-02-23,420019991,0.048,NA,42,1,39.9231,-77.3078,44,NA
"160",2020-02-24,420019991,0.046,NA,42,1,39.9231,-77.3078,43,NA
"161",2020-02-25,420019991,0.029,NA,42,1,39.9231,-77.3078,27,NA
"162",2020-02-26,420019991,0.032,NA,42,1,39.9231,-77.3078,30,NA
"163",2020-02-28,420019991,0.042,NA,42,1,39.9231,-77.3078,39,NA
"164",2020-02-29,420019991,0.039,NA,42,1,39.9231,-77.3078,36,NA
"165",2020-03-01,420019991,0.045,NA,42,1,39.9231,-77.3078,42,NA
"166",2020-03-02,420019991,0.046,NA,42,1,39.9231,-77.3078,43,NA
"167",2020-03-05,420019991,0.042,NA,42,1,39.9231,-77.3078,39,NA
"168",2020-03-06,420019991,0.038,NA,42,1,39.9231,-77.3078,35,NA
"169",2020-03-07,420019991,0.043,NA,42,1,39.9231,-77.3078,40,NA
"170",2020-03-08,420019991,0.043,NA,42,1,39.9231,-77.3078,40,NA
"171",2020-03-09,420019991,0.051,NA,42,1,39.9231,-77.3078,47,NA
"172",2020-03-10,420019991,0.04,NA,42,1,39.9231,-77.3078,37,NA
"173",2020-03-11,420019991,0.034,NA,42,1,39.9231,-77.3078,31,NA
"174",2020-03-12,420019991,0.04,NA,42,1,39.9231,-77.3078,37,NA
"175",2020-03-13,420019991,0.046,NA,42,1,39.9231,-77.3078,43,NA
"176",2020-03-14,420019991,0.043,NA,42,1,39.9231,-77.3078,40,NA
"177",2020-03-15,420019991,0.04,NA,42,1,39.9231,-77.3078,37,NA
"178",2020-03-16,420019991,0.044,NA,42,1,39.9231,-77.3078,41,NA
"179",2020-03-17,420019991,0.033,NA,42,1,39.9231,-77.3078,31,NA
"180",2020-03-18,420019991,0.039,NA,42,1,39.9231,-77.3078,36,NA
"181",2020-03-19,420019991,0.031,NA,42,1,39.9231,-77.3078,29,NA
"182",2020-03-20,420019991,0.044,NA,42,1,39.9231,-77.3078,41,NA
"183",2020-03-21,420019991,0.039,NA,42,1,39.9231,-77.3078,36,NA
"184",2020-03-22,420019991,0.043,NA,42,1,39.9231,-77.3078,40,NA
"185",2020-03-23,420019991,0.034,NA,42,1,39.9231,-77.3078,31,NA
"186",2020-03-24,420019991,0.042,NA,42,1,39.9231,-77.3078,39,NA
"187",2020-03-25,420019991,0.031,NA,42,1,39.9231,-77.3078,29,NA
"188",2020-03-26,420019991,0.041,NA,42,1,39.9231,-77.3078,38,NA
"189",2020-03-27,420019991,0.047,NA,42,1,39.9231,-77.3078,44,NA
"190",2020-03-28,420019991,0.037,NA,42,1,39.9231,-77.3078,34,NA
"191",2020-03-29,420019991,0.029,NA,42,1,39.9231,-77.3078,27,NA
"192",2020-03-30,420019991,0.045,NA,42,1,39.9231,-77.3078,42,NA
"193",2020-03-31,420019991,0.033,NA,42,1,39.9231,-77.3078,31,NA
"194",2020-04-01,420019991,0.045,NA,42,1,39.9231,-77.3078,42,NA
"195",2020-04-02,420019991,0.048,NA,42,1,39.9231,-77.3078,44,NA
"196",2020-04-03,420019991,0.044,NA,42,1,39.9231,-77.3078,41,NA
"197",2020-04-04,420019991,0.036,NA,42,1,39.9231,-77.3078,33,NA
"198",2020-04-05,420019991,0.047,NA,42,1,39.9231,-77.3078,44,NA
"199",2020-04-06,420019991,0.049,NA,42,1,39.9231,-77.3078,45,NA
"200",2020-04-07,420019991,0.045,NA,42,1,39.9231,-77.3078,42,NA
"201",2020-04-08,420019991,0.05,NA,42,1,39.9231,-77.3078,46,NA
"202",2020-04-09,420019991,0.049,NA,42,1,39.9231,-77.3078,45,NA
"203",2020-04-10,420019991,0.045,NA,42,1,39.9231,-77.3078,42,NA
"204",2020-04-11,420019991,0.051,NA,42,1,39.9231,-77.3078,47,NA
"205",2020-04-12,420019991,0.047,NA,42,1,39.9231,-77.3078,44,NA
"206",2020-04-13,420019991,0.045,NA,42,1,39.9231,-77.3078,42,NA
"207",2020-04-14,420019991,0.043,NA,42,1,39.9231,-77.3078,40,NA
"208",2020-04-15,420019991,0.049,NA,42,1,39.9231,-77.3078,45,NA
