Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
3/9/2020,AirNow,420010001,1,0.05,ppm,46,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/10/2020,AirNow,420010001,1,0.039,ppm,36,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/11/2020,AirNow,420010001,1,0.032,ppm,30,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/12/2020,AirNow,420010001,1,0.039,ppm,36,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/13/2020,AirNow,420010001,1,0.046,ppm,43,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/14/2020,AirNow,420010001,1,0.043,ppm,40,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/15/2020,AirNow,420010001,1,0.04,ppm,37,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/16/2020,AirNow,420010001,1,0.043,ppm,40,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/17/2020,AirNow,420010001,1,0.033,ppm,31,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/18/2020,AirNow,420010001,1,0.038,ppm,35,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/19/2020,AirNow,420010001,1,0.031,ppm,29,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/20/2020,AirNow,420010001,1,0.043,ppm,40,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/21/2020,AirNow,420010001,1,0.039,ppm,36,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/22/2020,AirNow,420010001,1,0.043,ppm,40,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/23/2020,AirNow,420010001,1,0.034,ppm,31,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/24/2020,AirNow,420010001,1,0.041,ppm,38,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/25/2020,AirNow,420010001,1,0.031,ppm,29,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/26/2020,AirNow,420010001,1,0.041,ppm,38,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/27/2020,AirNow,420010001,1,0.046,ppm,43,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/28/2020,AirNow,420010001,1,0.037,ppm,34,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/29/2020,AirNow,420010001,1,0.029,ppm,27,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/30/2020,AirNow,420010001,1,0.046,ppm,43,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/31/2020,AirNow,420010001,1,0.032,ppm,30,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/1/2020,AirNow,420010001,1,0.045,ppm,42,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/2/2020,AirNow,420010001,1,0.048,ppm,44,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/3/2020,AirNow,420010001,1,0.044,ppm,41,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/4/2020,AirNow,420010001,1,0.036,ppm,33,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/5/2020,AirNow,420010001,1,0.046,ppm,43,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/6/2020,AirNow,420010001,1,0.049,ppm,45,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/7/2020,AirNow,420010001,1,0.044,ppm,41,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/8/2020,AirNow,420010001,1,0.049,ppm,45,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/9/2020,AirNow,420010001,1,0.048,ppm,44,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/10/2020,AirNow,420010001,1,0.044,ppm,41,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/11/2020,AirNow,420010001,1,0.05,ppm,46,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/12/2020,AirNow,420010001,1,0.044,ppm,41,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/13/2020,AirNow,420010001,1,0.045,ppm,42,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/14/2020,AirNow,420010001,1,0.043,ppm,40,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/15/2020,AirNow,420010001,1,0.049,ppm,45,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/16/2020,AirNow,420010001,1,0.046,ppm,43,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/17/2020,AirNow,420010001,1,0.044,ppm,41,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/18/2020,AirNow,420010001,1,0.048,ppm,44,NARSTO SITE ARENDTSVILLE,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
4/19/2020,AirNow,420010001,1,0.048,ppm,44,NARSTO SITE ARENDTSVILLE,23,96,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
1/1/2020,AirNow,420019991,1,0.036,ppm,33,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.9231,-77.3078
1/2/2020,AirNow,420019991,1,0.033,ppm,31,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.9231,-77.3078
1/3/2020,AirNow,420019991,1,0.02,ppm,19,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.9231,-77.3078
1/4/2020,AirNow,420019991,1,0.031,ppm,29,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.9231,-77.3078
1/5/2020,AirNow,420019991,1,0.034,ppm,31,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.9231,-77.3078
1/6/2020,AirNow,420019991,1,0.037,ppm,34,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.9231,-77.3078
1/7/2020,AirNow,420019991,1,0.032,ppm,30,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.9231,-77.3078
1/8/2020,AirNow,420019991,1,0.034,ppm,31,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.9231,-77.3078
1/9/2020,AirNow,420019991,1,0.03,ppm,28,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.9231,-77.3078
1/10/2020,AirNow,420019991,1,0.03,ppm,28,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.9231,-77.3078
1/11/2020,AirNow,420019991,1,0.033,ppm,31,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.9231,-77.3078
1/12/2020,AirNow,420019991,1,0.036,ppm,33,Arendtsville,24,100,44201,Ozone,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.9231,-77.3078
