Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
3/3/2020,AirNow,420010001,7,11.6,ug/m3 LC,48,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/4/2020,AirNow,420010001,7,4,ug/m3 LC,17,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/5/2020,AirNow,420010001,7,8.6,ug/m3 LC,36,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/6/2020,AirNow,420010001,7,10.2,ug/m3 LC,43,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/7/2020,AirNow,420010001,7,3.4,ug/m3 LC,14,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/8/2020,AirNow,420010001,7,4.7,ug/m3 LC,20,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/9/2020,AirNow,420010001,7,6.9,ug/m3 LC,29,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/10/2020,AirNow,420010001,7,7.8,ug/m3 LC,33,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/11/2020,AirNow,420010001,7,7.3,ug/m3 LC,30,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/12/2020,AirNow,420010001,7,14.8,ug/m3 LC,57,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/13/2020,AirNow,420010001,7,6,ug/m3 LC,25,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/14/2020,AirNow,420010001,7,5,ug/m3 LC,21,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/15/2020,AirNow,420010001,7,6.4,ug/m3 LC,27,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/16/2020,AirNow,420010001,7,9.7,ug/m3 LC,40,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/17/2020,AirNow,420010001,7,8.3,ug/m3 LC,35,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/18/2020,AirNow,420010001,7,11.2,ug/m3 LC,47,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/19/2020,AirNow,420010001,7,18,ug/m3 LC,63,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/20/2020,AirNow,420010001,7,14.8,ug/m3 LC,57,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
3/21/2020,AirNow,420010001,7,5.9,ug/m3 LC,25,NARSTO SITE ARENDTSVILLE,1,100,88101,PM2.5 - Local Conditions,23900,"Gettysburg, PA",42,Pennsylvania,1,Adams,39.92002011,-77.30968017
